Report_Month,Company,Product_Category,Premium_Current_Month,Premium_YTD,Policies_Current_Month,Policies_YTD,Date
January-2017,AXIS MAX LIFE INSURANCE LIMITED,Individual Non Single Premium,157.2,1696.77,31860.0,334960,2017-01-01
January-2017,AXIS MAX LIFE INSURANCE LIMITED,Individual Single Premium,56.99,553.65,37.0,543,2017-01-01
January-2017,AXIS MAX LIFE INSURANCE LIMITED,Total,235.48,2519.18,31900.0,335882,2017-01-01
January-2017,BAJAJ LIFE INSURANCE LIMITED,Group Non Single Premium,129.09,802.6,12.0,109,2017-01-01
January-2017,BAJAJ LIFE INSURANCE LIMITED,Group Single Premium,99.63,910.81,2.0,42,2017-01-01
January-2017,BAJAJ LIFE INSURANCE LIMITED,Individual Non Single Premium,73.23,692.42,19356.0,185028,2017-01-01
January-2017,BAJAJ LIFE INSURANCE LIMITED,Individual Single Premium,4.04,43.57,156.0,1990,2017-01-01
January-2017,BAJAJ LIFE INSURANCE LIMITED,Total,305.99,2449.4,19526.0,187169,2017-01-01
January-2017,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Group Non Single Premium,0.0,0.0,0.0,0,2017-01-01
January-2017,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Group Single Premium,0.0,0.0,1.0,1,2017-01-01
January-2017,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Individual Non Single Premium,7.75,52.96,4134.0,24772,2017-01-01
January-2017,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Individual Single Premium,0.19,1.5,7.0,1475,2017-01-01
January-2017,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Total,7.94,54.47,4142.0,26248,2017-01-01
January-2017,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0,2017-01-01
January-2017,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,9.97,172.8,0.0,3,2017-01-01
January-2017,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,27.2,290.88,7381.0,74655,2017-01-01
January-2017,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.28,6.99,13.0,163,2017-01-01
January-2017,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Total,37.45,470.67,7394.0,74821,2017-01-01
January-2017,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.27,2.64,0.0,0,2017-01-01
January-2017,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Group Single Premium,21.42,324.18,2.0,18,2017-01-01
January-2017,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,55.92,389.6,6366.0,60762,2017-01-01
January-2017,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,1.11,15.34,13.0,125,2017-01-01
January-2017,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Total,78.72,731.77,6381.0,60905,2017-01-01
January-2017,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.72,21.91,8.0,80,2017-01-01
January-2017,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Group Single Premium,1.35,12.91,0.0,0,2017-01-01
January-2017,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,14.79,95.72,3759.0,26872,2017-01-01
January-2017,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,2.82,14.37,51.0,342,2017-01-01
January-2017,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Total,19.68,144.91,3818.0,27294,2017-01-01
January-2017,EXIDE LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,6.18,40.81,20.0,208,2017-01-01
January-2017,EXIDE LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.01,0.01,1.0,1,2017-01-01
January-2017,EXIDE LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,49.08,427.44,15314.0,136205,2017-01-01
January-2017,EXIDE LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,3.79,213.59,53.0,395,2017-01-01
January-2017,EXIDE LIFE INSURANCE COMPANY LIMITED,Total,59.06,681.86,15388.0,136809,2017-01-01
January-2017,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,11.68,142.1,3.0,62,2017-01-01
January-2017,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Group Single Premium,1.25,14.71,3.0,7,2017-01-01
January-2017,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,16.83,101.38,4271.0,27813,2017-01-01
January-2017,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.43,5.9,242.0,1211,2017-01-01
January-2017,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Total,30.18,264.08,4519.0,29093,2017-01-01
January-2017,HDFC LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0,2017-01-01
January-2017,HDFC LIFE INSURANCE COMPANY LIMITED,Group Single Premium,295.33,3283.15,71.0,618,2017-01-01
January-2017,HDFC LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,383.5,2379.08,82070.0,587550,2017-01-01
January-2017,HDFC LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,54.75,452.45,44906.0,228919,2017-01-01
January-2017,HDFC LIFE INSURANCE COMPANY LIMITED,Total,733.58,6114.67,127047.0,817087,2017-01-01
January-2017,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0,2017-01-01
January-2017,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Group Single Premium,51.95,681.22,96.0,630,2017-01-01
January-2017,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,667.42,4899.83,68317.0,520906,2017-01-01
January-2017,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,56.03,496.96,2451.0,26758,2017-01-01
January-2017,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Total,775.41,6078.02,70864.0,548294,2017-01-01
January-2017,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0,2017-01-01
January-2017,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Group Single Premium,44.2,1022.83,2.0,30,2017-01-01
January-2017,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,40.47,246.34,11225.0,84339,2017-01-01
January-2017,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,1.08,8.48,51.0,370,2017-01-01
January-2017,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Total,85.75,1277.65,11278.0,84739,2017-01-01
January-2017,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,19.27,227.19,5.0,33,2017-01-01
January-2017,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Group Single Premium,3.79,60.64,9.0,109,2017-01-01
January-2017,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,60.83,504.55,21532.0,203465,2017-01-01
January-2017,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,2.01,19.21,97.0,843,2017-01-01
January-2017,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Total,85.9,811.6,21643.0,204450,2017-01-01
January-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,65.52,613.55,70.0,811,2017-01-01
January-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,333.51,3539.24,396.0,3083,2017-01-01
January-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,31.32,438.53,6.0,63,2017-01-01
January-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,792.94,10759.49,253.0,2084,2017-01-01
January-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,111.64,722.6,23128.0,162982,2017-01-01
January-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,2975.42,20215.34,554506.0,4279752,2017-01-01
January-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,23.44,134.98,4297.0,23723,2017-01-01
January-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,311.63,2792.04,56517.0,326900,2017-01-01
January-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Total,231.92,1909.66,27501.0,187579,2017-01-01
January-2017,LIFE INSURANCE CORPORATION OF INDIA,Group Non Single Premium,130.22,3351.06,2689.0,21503,2017-01-01
January-2017,LIFE INSURANCE CORPORATION OF INDIA,Group Single Premium,5365.75,53522.06,61.0,523,2017-01-01
January-2017,LIFE INSURANCE CORPORATION OF INDIA,Individual Non Single Premium,1929.49,15576.38,1651602.0,12631091,2017-01-01
January-2017,LIFE INSURANCE CORPORATION OF INDIA,Individual Single Premium,1299.14,19799.49,74536.0,929933,2017-01-01
January-2017,LIFE INSURANCE CORPORATION OF INDIA,Total,8724.59,92248.99,1728888.0,13583050,2017-01-01
January-2017,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,4.04,43.59,18.0,152,2017-01-01
January-2017,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Group Single Premium,5.13,41.37,0.0,0,2017-01-01
January-2017,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,74.18,707.65,14480.0,156434,2017-01-01
January-2017,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,1.61,15.18,49.0,354,2017-01-01
January-2017,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Total,84.95,807.8,14547.0,156940,2017-01-01
January-2017,PRAMERICA LIFE INSURANCE LIMITED.,Group Non Single Premium,0.0,0.0,0.0,0,2017-01-01
January-2017,PRAMERICA LIFE INSURANCE LIMITED.,Group Single Premium,59.2,494.53,51.0,423,2017-01-01
January-2017,PRAMERICA LIFE INSURANCE LIMITED.,Individual Non Single Premium,17.42,130.22,5395.0,46506,2017-01-01
January-2017,PRAMERICA LIFE INSURANCE LIMITED.,Individual Single Premium,2.4,29.04,149.0,2492,2017-01-01
January-2017,PRAMERICA LIFE INSURANCE LIMITED.,Total,79.02,653.79,5595.0,49421,2017-01-01
January-2017,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0,2017-01-01
January-2017,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.0,0.0,0.0,0,2017-01-01
January-2017,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,0.8,7.51,348.0,6328,2017-01-01
January-2017,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,2.17,14.35,276.0,2716,2017-01-01
January-2017,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Total,2.96,21.86,624.0,9044,2017-01-01
January-2017,SBI LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,30.19,218.12,199.0,661,2017-01-01
January-2017,SBI LIFE INSURANCE COMPANY LIMITED,Group Single Premium,100.33,2759.07,6.0,49,2017-01-01
January-2017,SBI LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,903.32,4585.32,154385.0,983122,2017-01-01
January-2017,SBI LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,60.7,472.99,2212.0,19747,2017-01-01
January-2017,SBI LIFE INSURANCE COMPANY LIMITED,Total,1094.54,8035.51,156802.0,1003579,2017-01-01
January-2017,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,5.47,87.96,11.0,123,2017-01-01
January-2017,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Group Single Premium,29.04,162.89,2.0,7,2017-01-01
January-2017,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,31.07,278.62,16121.0,147790,2017-01-01
January-2017,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,3.83,44.59,265.0,2940,2017-01-01
January-2017,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Total,69.41,574.07,16399.0,150860,2017-01-01
January-2017,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.79,8.85,1.0,9,2017-01-01
January-2017,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Group Single Premium,2.09,17.39,0.0,1,2017-01-01
January-2017,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,38.72,360.34,8680.0,80272,2017-01-01
January-2017,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,10.68,50.01,137.0,1252,2017-01-01
January-2017,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Total,52.28,436.59,8818.0,81534,2017-01-01
January-2017,TATA AIA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,6.32,53.62,4.0,79,2017-01-01
January-2017,TATA AIA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.0,0.12,0.0,0,2017-01-01
January-2017,TATA AIA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,98.85,670.06,16444.0,120979,2017-01-01
January-2017,TATA AIA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.34,3.43,15.0,112,2017-01-01
January-2017,TATA AIA LIFE INSURANCE COMPANY LIMITED,Total,105.51,727.22,16463.0,121170,2017-01-01
February-2017,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,54.89,1239.26,61.0,456,2017-02-01
February-2017,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Group Single Premium,2.57,20.69,0.0,5,2017-02-01
February-2017,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,81.81,703.23,28225.0,241528,2017-02-01
February-2017,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,3.17,33.71,103.0,885,2017-02-01
February-2017,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Total,142.43,1996.89,28389.0,242874,2017-02-01
February-2017,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.02,2.63,0.0,0,2017-02-01
February-2017,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Group Single Premium,7.32,134.69,1.0,44,2017-02-01
February-2017,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,39.13,307.87,10794.0,88220,2017-02-01
February-2017,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,28.35,188.38,1405.0,10239,2017-02-01
February-2017,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Total,74.81,633.58,12200.0,98503,2017-02-01
February-2017,AVIVA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,4.56,41.84,2.0,17,2017-02-01
February-2017,AVIVA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.02,0.1,0.0,1,2017-02-01
February-2017,AVIVA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,14.54,100.41,2592.0,19875,2017-02-01
February-2017,AVIVA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,1.15,6.01,1241.0,2055,2017-02-01
February-2017,AVIVA LIFE INSURANCE COMPANY LIMITED,Total,20.26,148.36,3835.0,21948,2017-02-01
February-2017,AXIS MAX LIFE INSURANCE LIMITED,Group Non Single Premium,11.31,63.33,2.0,348,2017-02-01
February-2017,AXIS MAX LIFE INSURANCE LIMITED,Group Single Premium,22.15,238.88,0.0,33,2017-02-01
February-2017,AXIS MAX LIFE INSURANCE LIMITED,Individual Non Single Premium,237.07,1933.84,49513.0,384473,2017-02-01
February-2017,AXIS MAX LIFE INSURANCE LIMITED,Individual Single Premium,68.76,622.41,60.0,603,2017-02-01
February-2017,AXIS MAX LIFE INSURANCE LIMITED,Total,339.28,2858.46,49575.0,385457,2017-02-01
February-2017,BAJAJ LIFE INSURANCE LIMITED,Group Non Single Premium,41.95,844.54,19.0,128,2017-02-01
February-2017,BAJAJ LIFE INSURANCE LIMITED,Group Single Premium,41.17,951.98,6.0,48,2017-02-01
February-2017,BAJAJ LIFE INSURANCE LIMITED,Individual Non Single Premium,88.43,780.85,27128.0,212156,2017-02-01
February-2017,BAJAJ LIFE INSURANCE LIMITED,Individual Single Premium,5.97,49.54,230.0,2220,2017-02-01
February-2017,BAJAJ LIFE INSURANCE LIMITED,Total,177.51,2626.91,27383.0,214552,2017-02-01
February-2017,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Group Non Single Premium,0.0,0.0,0.0,0,2017-02-01
February-2017,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Group Single Premium,0.05,0.05,2.0,3,2017-02-01
February-2017,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Individual Non Single Premium,9.45,62.41,4798.0,29570,2017-02-01
February-2017,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Individual Single Premium,0.21,1.72,11.0,1486,2017-02-01
February-2017,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Total,9.71,64.18,4811.0,31059,2017-02-01
February-2017,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0,2017-02-01
February-2017,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,13.01,185.81,0.0,3,2017-02-01
February-2017,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,30.26,321.14,8449.0,83104,2017-02-01
February-2017,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.13,7.12,1248.0,1411,2017-02-01
February-2017,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Total,43.4,514.07,9697.0,84518,2017-02-01
February-2017,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.28,2.92,0.0,0,2017-02-01
February-2017,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Group Single Premium,11.14,335.32,2.0,20,2017-02-01
February-2017,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,70.18,459.78,10055.0,70817,2017-02-01
February-2017,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.51,15.85,12.0,137,2017-02-01
February-2017,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Total,82.11,813.88,10069.0,70974,2017-02-01
February-2017,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.56,22.47,4.0,84,2017-02-01
February-2017,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Group Single Premium,1.43,14.34,0.0,0,2017-02-01
February-2017,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,18.55,114.27,4227.0,31099,2017-02-01
February-2017,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,1.83,16.21,2010.0,2352,2017-02-01
February-2017,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Total,22.38,167.29,6241.0,33535,2017-02-01
February-2017,EXIDE LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,2.77,43.59,29.0,237,2017-02-01
February-2017,EXIDE LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.0,0.01,0.0,1,2017-02-01
February-2017,EXIDE LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,58.28,485.72,17842.0,154047,2017-02-01
February-2017,EXIDE LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,6.47,220.07,47.0,442,2017-02-01
February-2017,EXIDE LIFE INSURANCE COMPANY LIMITED,Total,67.52,749.38,17918.0,154727,2017-02-01
February-2017,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,10.18,152.27,6.0,68,2017-02-01
February-2017,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Group Single Premium,1.69,16.4,3.0,10,2017-02-01
February-2017,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,16.91,118.28,4131.0,31944,2017-02-01
February-2017,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.44,6.34,125.0,1336,2017-02-01
February-2017,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Total,29.21,293.29,4265.0,33358,2017-02-01
February-2017,HDFC LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0,2017-02-01
February-2017,HDFC LIFE INSURANCE COMPANY LIMITED,Group Single Premium,259.97,3543.12,77.0,695,2017-02-01
February-2017,HDFC LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,356.08,2735.15,84091.0,671641,2017-02-01
February-2017,HDFC LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,44.02,496.47,6633.0,235552,2017-02-01
February-2017,HDFC LIFE INSURANCE COMPANY LIMITED,Total,660.06,6774.74,90801.0,907888,2017-02-01
February-2017,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0,2017-02-01
February-2017,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Group Single Premium,80.18,761.41,64.0,694,2017-02-01
February-2017,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,746.39,5646.22,75817.0,596723,2017-02-01
February-2017,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,58.41,555.37,2644.0,29402,2017-02-01
February-2017,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Total,884.98,6963.0,78525.0,626819,2017-02-01
February-2017,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0,2017-02-01
February-2017,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Group Single Premium,43.11,1065.95,5.0,35,2017-02-01
February-2017,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,53.55,299.89,14574.0,98913,2017-02-01
February-2017,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,1.16,9.63,67.0,437,2017-02-01
February-2017,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Total,97.82,1375.47,14646.0,99385,2017-02-01
February-2017,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,10.48,237.68,8.0,41,2017-02-01
February-2017,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Group Single Premium,4.51,65.16,7.0,116,2017-02-01
February-2017,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,61.19,565.74,22173.0,225638,2017-02-01
February-2017,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,1.27,20.48,86.0,929,2017-02-01
February-2017,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Total,77.46,889.06,22274.0,226724,2017-02-01
February-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,50.23,663.78,57.0,868,2017-02-01
February-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,243.81,3783.04,456.0,3539,2017-02-01
February-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,33.37,471.9,6.0,69,2017-02-01
February-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,644.33,11403.82,230.0,2314,2017-02-01
February-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,115.78,838.38,24274.0,187256,2017-02-01
February-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,2736.86,22952.19,556359.0,4836111,2017-02-01
February-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,30.19,165.18,3273.0,26996,2017-02-01
February-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,319.1,3111.13,22806.0,349706,2017-02-01
February-2017,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Total,229.58,2139.24,27610.0,215189,2017-02-01
February-2017,LIFE INSURANCE CORPORATION OF INDIA,Group Non Single Premium,95.62,3446.68,2004.0,23507,2017-02-01
February-2017,LIFE INSURANCE CORPORATION OF INDIA,Group Single Premium,3477.95,57000.0,27.0,550,2017-02-01
February-2017,LIFE INSURANCE CORPORATION OF INDIA,Individual Non Single Premium,2018.24,17594.62,1680037.0,14311128,2017-02-01
February-2017,LIFE INSURANCE CORPORATION OF INDIA,Individual Single Premium,1255.78,21055.27,79087.0,1009020,2017-02-01
